Time,Gravity Acceleration,Angular Velocity,Linear Acceleration
12.54,"(9.75, -1.04, -0.11)","(0.56, 0.32, -0.21)","(0.14, -1.62, -3.12)"
12.56,"(9.75, -1.04, -0.07)","(0.55, 0.71, -0.16)","(0.01, 0.27, -2.03)"
12.58,"(9.75, -1.04, -0.03)","(0.5, 0.7, -0.11)","(-0.07, 0.51, -0.33)"
12.6,"(9.75, -1.05, -0.03)","(0.2, 0.26, -0.01)","(-0.1, 1.3, 3.26)"
12.62,"(9.75, -1.05, -0.05)","(0.35, 0.32, -0.06)","(-0.01, -0.23, -2.56)"
12.64,"(9.75, -1.04, -0.14)","(0.19, -0.14, -0.11)","(-0.04, 0.61, 2.27)"
12.66,"(9.75, -1.03, -0.2)","(0.05, -0.52, -0.32)","(0.04, -3.24, 5.91)"
12.68,"(9.76, -0.98, -0.22)","(0.06, -0.54, -0.35)","(-0.04, 2.65, 2.88)"
12.7,"(9.76, -0.92, -0.21)","(-0.06, -0.27, -0.13)","(-0.04, 2.88, -1.22)"
12.72,"(9.77, -0.81, -0.22)","(-0.77, -0.76, -0.05)","(-0.22, 4.56, 5.18)"
12.74,"(9.78, -0.72, -0.25)","(-1.02, -0.78, 0.04)","(-0.15, -0.28, -1.36)"
12.76,"(9.78, -0.73, -0.29)","(-1.31, -0.56, 0.47)","(0.05, -0.05, -4.22)"
12.78,"(9.78, -0.73, -0.3)","(-0.61, -0.22, 0.16)","(0.21, -4.2, -2.26)"
12.8,"(9.78, -0.76, -0.32)","(-1.4, -0.32, 0.2)","(-0.03, -0.52, 0.77)"
12.82,"(9.77, -0.79, -0.35)","(-1.33, -0.27, 0.07)","(0.16, -2.13, -1.39)"
12.84,"(9.77, -0.81, -0.37)","(-0.61, -0.14, 0.02)","(0.02, 0.17, -0.58)"
12.86,"(9.76, -0.85, -0.41)","(-1.35, -0.21, 0.13)","(0.05, -0.32, -0.73)"
12.88,"(9.76, -0.94, -0.42)","(-0.93, -0.05, 0.14)","(0.07, -2.59, 0.4)"
12.9,"(9.75, -0.99, -0.41)","(-0.71, 0.14, -0.03)","(0.06, 0.04, -1.43)"
12.92,"(9.75, -0.99, -0.38)","(-0.47, 0.4, -0.28)","(0.07, 0.46, -2.0)"
12.94,"(9.76, -0.97, -0.35)","(-0.09, 0.5, -0.07)","(-0.07, 3.02, -0.8)"
12.96,"(9.76, -0.93, -0.26)","(0.19, 1.21, -0.17)","(0.11, 1.33, -5.86)"
12.98,"(9.77, -0.86, -0.15)","(0.72, 1.61, -0.38)","(-0.09, -1.83, -3.31)"
13.0,"(9.77, -0.83, -0.11)","(0.6, 0.83, 0.05)","(-0.31, 3.33, 5.34)"
13.02,"(9.77, -0.82, -0.11)","(0.26, 0.15, 0.18)","(-0.01, -0.39, 5.78)"
13.04,"(9.78, -0.81, -0.15)","(0.6, 0.19, 0.17)","(-0.06, 0.22, -2.11)"
13.06,"(9.78, -0.8, -0.18)","(0.61, 0.07, -0.01)","(0.1, -2.46, 1.2)"
13.08,"(9.78, -0.8, -0.19)","(0.35, -0.05, -0.11)","(0.15, -1.74, 3.69)"
13.1,"(9.77, -0.81, -0.2)","(0.71, -0.22, -0.22)","(0.09, -1.61, 1.81)"
13.12,"(9.77, -0.82, -0.22)","(0.5, -0.55, -0.15)","(0.03, -0.3, 3.4)"
13.14,"(9.77, -0.87, -0.22)","(0.45, -0.57, 0.13)","(-0.12, 2.02, 1.78)"
13.16,"(9.76, -0.92, -0.21)","(0.47, -0.53, 0.25)","(-0.12, 0.86, 0.52)"
13.18,"(9.76, -0.94, -0.19)","(0.26, -0.17, 0.14)","(-0.01, 0.43, -4.58)"
13.2,"(9.76, -1.0, -0.15)","(0.63, -0.34, 0.27)","(-0.11, -0.42, 3.72)"
13.22,"(9.75, -1.05, -0.12)","(0.68, -0.23, 0.14)","(0.04, -1.43, -2.07)"
13.24,"(9.75, -1.05, -0.11)","(0.61, -0.03, -0.09)","(0.12, 0.0, -3.86)"
13.26,"(9.75, -1.04, -0.11)","(0.29, 0.01, -0.07)","(0.01, 0.9, -1.01)"
13.28,"(9.75, -1.04, -0.11)","(0.57, 0.28, -0.2)","(0.18, -1.84, -3.68)"
13.3,"(9.75, -1.04, -0.09)","(0.54, 0.51, -0.18)","(0.02, 0.11, -1.7)"
13.32,"(9.75, -1.04, -0.04)","(0.55, 0.79, -0.16)","(-0.02, 0.17, -1.69)"
13.34,"(9.75, -1.04, -0.03)","(0.21, 0.28, -0.02)","(-0.13, 1.69, 3.56)"
13.36,"(9.75, -1.05, -0.02)","(0.42, 0.55, -0.02)","(0.0, -0.42, -3.63)"
13.38,"(9.75, -1.04, -0.1)","(0.2, -0.1, -0.11)","(-0.06, 0.87, 3.25)"
13.4,"(9.75, -1.03, -0.17)","(0.12, -0.33, -0.22)","(0.01, -1.65, 3.33)"
13.42,"(9.75, -1.03, -0.23)","(0.03, -0.56, -0.34)","(0.0, -2.08, 3.76)"
